year month day streamflow_m3s qual_control_by_ana qual_flag
2017 07 01 nan nan 0
2017 07 02 nan nan 0
2017 07 03 nan nan 0
2017 07 04 nan nan 0
2017 07 05 nan nan 0
2017 07 06 nan nan 0
2017 07 07 nan nan 0
2017 07 08 nan nan 0
2017 07 09 nan nan 0
2017 07 10 nan nan 0
2017 07 11 nan nan 0
2017 07 12 nan nan 0
2017 07 13 nan nan 0
2017 07 14 nan nan 0
2017 07 15 nan nan 0
2017 07 16 nan nan 0
2017 07 17 nan nan 0
2017 07 18 nan nan 0
2017 07 19 nan nan 0
2017 07 20 nan nan 0
2017 07 21 nan nan 0
2017 07 22 nan nan 0
2017 07 23 nan nan 0
2017 07 24 nan nan 0
2017 07 25 nan nan 0
2017 07 26 nan nan 0
2017 07 27 nan nan 0
2017 07 28 nan nan 0
2017 07 29 nan nan 0
2017 07 30 nan nan 0
2017 07 31 nan nan 0
2017 08 01 nan nan 0
2017 08 02 nan nan 0
2017 08 03 nan nan 0
2017 08 04 nan nan 0
2017 08 05 nan nan 0
2017 08 06 nan nan 0
2017 08 07 nan nan 0
2017 08 08 nan nan 0
2017 08 09 nan nan 0
2017 08 10 nan nan 0
2017 08 11 nan nan 0
2017 08 12 nan nan 0
2017 08 13 nan nan 0
2017 08 14 nan nan 0
2017 08 15 nan nan 0
2017 08 16 nan nan 0
2017 08 17 nan nan 0
2017 08 18 nan nan 0
2017 08 19 nan nan 0
2017 08 20 nan nan 0
2017 08 21 nan nan 0
2017 08 22 nan nan 0
2017 08 23 nan nan 0
2017 08 24 nan nan 0
2017 08 25 nan nan 0
2017 08 26 nan nan 0
2017 08 27 nan nan 0
2017 08 28 nan nan 0
2017 08 29 nan nan 0
2017 08 30 nan nan 0
2017 08 31 nan nan 0
2017 09 01 nan nan 0
2017 09 02 nan nan 0
2017 09 03 nan nan 0
2017 09 04 nan nan 0
2017 09 05 nan nan 0
2017 09 06 nan nan 0
2017 09 07 nan nan 0
2017 09 08 nan nan 0
2017 09 09 nan nan 0
2017 09 10 nan nan 0
2017 09 11 nan nan 0
2017 09 12 nan nan 0
2017 09 13 nan nan 0
2017 09 14 nan nan 0
2017 09 15 nan nan 0
2017 09 16 nan nan 0
2017 09 17 nan nan 0
2017 09 18 nan nan 0
2017 09 19 nan nan 0
2017 09 20 nan nan 0
2017 09 21 nan nan 0
2017 09 22 nan nan 0
2017 09 23 nan nan 0
2017 09 24 nan nan 0
2017 09 25 nan nan 0
2017 09 26 nan nan 0
2017 09 27 nan nan 0
2017 09 28 nan nan 0
2017 09 29 nan nan 0
2017 09 30 nan nan 0
